,LATITUDE,LONGITUDE,NAME,STATION,TEMP_COEF_AVG,TEMP_COEF_MAX,TEMP_COEF_MIN,YEAR_MAX,YEAR_MIN
57,-44.516999999999996,169.9,"TARA HILLS, NZ",NZ000937470,1.188779747175225,0.8586597375066926,1.3511014624285804,2005,1950
58,48.6,35.9,"PAVLOGRAD, UP",UPM00034502,,,,2003,1937
59,34.01667,-86.0,"GADSDEN, AL US",USC00013151,-0.05746331255026258,0.602718664584147,-0.34443581583046373,1967,1894
60,54.0333,-124.2167,"ENGEN, BC CA",CA001092685,,,,1970,1958
61,44.61,-120.1819,"MEYERS CANYON OREGON, OR US",USR0000OMEY,,,,1996,1990
62,39.5,-79.83333,"REEDSVILLE EXPERIMENTAL FARM, WV US",USC00467427,,,,1977,1966
63,39.65,-111.15,"CLEAR CREEK, UT US",USC00421472,0.3404707420725728,-0.2122425629290612,0.9607807633808939,1967,1936
64,46.0667,-65.3667,"EAST CANAAN, NB CA",CA008101280,,,,1979,1973
65,48.95,-54.5667,"GANDER AIRPORT CS, NL CA",CA008401705,,,,2017,2006
66,25.0833,-107.6833,"PERICOS, MX",MXN00025071,-0.038754405371336106,-0.14030303809842234,0.07807475625755839,2008,1962
67,39.1,-76.75,"FORT GEORGE G MEADE, MD US",USC00183230,-1.7184559473529124,-1.0736172605242795,-0.09052782710545143,1975,1943
68,63.38,20.1,"SYDOSTBROTTEN, SW",SWE00136831,,0.2664675057544449,,1990,1965
69,45.4294,-123.7619,"TILLAMOOK 6 SE, OR US",USC00358498,,,,2019,2007
70,-38.0573,140.6725,"CAPE NORTHUMBERLAND, AS",ASN00026005,1.0358996308383706,2.1278506363460186,0.6415661005842845,2002,1868
71,41.2,-73.2,"BRIDGEPORT, CT US",USC00060801,0.49448546583438363,1.0629796544515882,-0.018442240736135682,1950,1894
72,35.7469,-76.5108,"POCOSIN LAKES NORTH CAROLINA, NC US",USR0000NPOC,,,,2018,2003
73,-13.3275,133.0861,"CENTRAL ARNHEM PLATEAU, AS",ASN00014909,,,,2019,2004
74,16.7167,-96.5667,"SAN JERONIMO TAVICHE, MX",MXN00020109,10.131128781275565,12.111863396792451,8.310355849137013,1996,1948
75,38.902640000000005,-103.0192,"WILD HORSE 6 N, CO US",USC00059058,,,,2017,2005
76,27.9774,-99.3847,"ENCINAL, TX US",USC00412906,-1.6646584219906027,-1.7805317730370036,-1.3088716525634883,2017,1908
77,18.2833,-98.8,"TEUTLA, MX",MXN00021217,,,,2009,1984
78,38.43333,-117.2,"WILLOW SPRINGS, NV US",USC00269137,,,,1946,1942
79,20.85,-90.4,"CELESTUN SMN, MX",MXN00031004,-2.7688032604668376,-3.0170433493886617,-2.5220452019266393,1983,1944
80,55.7,57.9,"DUVAN, RS",RSM00028537,3.583129575955714,3.3389302936384078,3.6473165840190114,2013,1937
81,33.8555,-111.3063,"PUNKIN CENTER, AZ US",USC00026840,,,,2011,1974
82,39.66346,-77.58309,"SMITHSBURG 2 NW, MD US",USC00188371,,,,2018,2002
83,18.7333,-97.9,"MOLCAXAC, MX",MXN00021203,,,,2009,1983
84,40.61,-111.1,"BEAVER DIVIDE, UT US",USS0011J46S,5.6739976062238195,2.3819818471972876,8.97533911829244,2019,1979
85,21.3833,-88.8833,"DZILAM DE BRAVO, MX",MXN00031010,1.0442994505494545,12.848698884758363,-7.459911133053562,2006,1961
86,25.9333,-108.9167,"MOCHICAHUI, MX",MXN00025065,8.73674566954516,3.0233173076923037,12.18467370701327,2000,1964
87,-32.783,26.633000000000003,"FORT BEAUFORT, SF",SF000782270,,,,2018,1879
88,38.8882,-86.5707,"BEDFORD 5 WNW, IN US",USW00063898,,,,2019,2008
89,74.1333,-119.9833,"AULAVIK NATIONAL PARK, NT CA",CA002500440,,,,2016,1999
90,39.54444,-82.05812,"TOM JENKINS DAM BURR OAK, OH US",USC00338378,-1.1083100963920203,-3.435448484762705,1.3375000000000004,1986,1954
91,62.1,42.9,"SHENKURSK, RS",RSM00022768,1.2692542196765095,1.4254713457021777,2.3623813333700965,2016,1885
92,45.6314,-89.4823,"RHINELANDER ONEIDA CO AIRPORT, WI US",USW00004803,,,,2019,1999
93,48.96667,-119.5,"OROVILLE 3 NW, WA US",USC00456188,-0.053156767415768955,-2.3776939655172424,2.4566397247034075,1959,1917
94,32.0444,-100.1078,"WINGATE, TX US",USC00419847,0.877587966287464,0.6376409588938784,0.8427147919946611,2017,1969
95,46.4378,-92.7578,"MOOSE LAKE 1 SSE, MN US",USC00215598,1.303895364326629,-0.08389969361928877,2.9689504204997426,2019,1915
96,46.1458,-98.0919,"OAKES, ND US",USC00326620,-1.2262559940981186,-1.0476356274556822,-0.5110763950952705,2017,1929
97,37.8,-121.2,"MANTECA, CA US",USC00045303,,,,1976,1966
98,49.3333,-124.9833,"ALBERNI ROBERTSON CREEK, BC CA",CA001030230,3.296637348892981,2.218985488634905,3.7873111871174188,2009,1962
99,40.2,-105.6,"WILD BASIN, CO US",USS0005J05S,,,,2019,2006
100,33.9,-105.0,"CIRCLE F RANCH, NM US",USC00291840,,,,1992,1981
101,27.53333,-99.46667,"LAREDO INTERNATIONAL AIRPORT, TX US",USW00012907,,,,2019,1966
102,62.1242,-141.8453,"CHICKEN CREEK ALASKA, AK US",USR0000ACHC,,,,2019,2005
103,50.5917,12.7156,"AUE, GM",GME00123838,3.030585455500131,5.391736676292988,0.6694998687319501,2019,1946
104,38.954440000000005,-88.95833,"BROWNSTOWN 4 SW, IL US",USC00111020,,,,2008,1993
105,49.2667,-54.4833,"GANDER BAY SOUTH, NL CA",CA008401711,,,,1994,1984
106,31.9694,-89.2888,"BAY SPRINGS, MS US",USC00220523,-5.7131147540983624,-6.122716983898608,-4.653644260212053,2015,1937
107,46.48,-115.63,"HEMLOCK BUTTE, ID US",USS0015C06S,7.020353443022547,3.5746604483717888,9.64134064594759,2019,1984
108,46.7667,-71.3,"CAP ROUGE, QC CA",CA007011170,4.4027901388394435,2.078995939461055,6.667074581701674,1940,1912
109,30.433329999999998,-85.41667,"FOUNTAIN 3 SSE, FL US",USC00083230,,,,1985,1956
110,42.3703,-106.1049,"SHIRLEY BASIN, WY US",USC00488192,,,,2017,1978
111,-34.4061,147.5248,"TEMORA RESEARCH STATION, AS",ASN00073038,-1.082217261904762,-1.4864879256636214,0.08264858942755396,2008,1935
112,37.8566,-80.4042,"LEWISBURG 3 N, WV US",USC00465224,-0.4899285220534726,-0.45050491000406395,-0.3456322176523557,2018,1901
113,33.0561,-109.3072,"CLIFTON, AZ US",USC00021849,-0.4380242858647718,0.9139817281459615,-2.053991450005418,2012,1896
114,67.2831,14.4667,"BODOE VAGONES, NO",NOE00111165,,,,2014,2003
115,19.0333,-96.1333,"PASO DEL TORO, MX",MXN00030468,,,,2011,2005
116,45.7,-63.55,"WENTWORTH, NS CA",CA008206225,,,,1965,1958
117,61.178059999999995,-149.96639,"ANCHORAGE LAKE HOOD SEA PLANE BASE, AK US",USW00026491,,,,2019,1999
118,36.26667,-98.48333000000001,"FAIRVIEW, OK US",USC00343047,,,,1976,1933
119,41.5656,2.0692,"SABADELL PARC AGRARI, SP",SPE00156486,,,,2018,2009
120,24.9333,-99.3833,"CERRO PRIETO, MX",MXN00019011,1.0594880847308055,-1.6878199470432496,3.806443071491619,2011,1959
121,49.7867,11.8225,"SPEINSHART, GM",GME00128986,,,,1965,1951
122,41.78028,-124.23666999999999,"CRESCENT CITY MCNAMARA AIRPORT, CA US",USW00024286,,,,2019,1950
